img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
12,292,439,0.15,0.15202603963057687,1.6252171290084357e-07,0.28400000000000003,0.7921747,0.71046066,0.0455949,0.71557117,0.04274333,0.6993269,0.05180736,0.7053752,0.04843252,0.7023401,0.05012602,0.7043603,0.0489988,0.7053752,0.04843252,0.7053752,0.04843252,0.7053752,0.04843252,0.7003286,0.05124841,0.7003286,0.05124841,0.69133663,0.05626577,0.78473675,0.00415023,0.79121536,0.00053529,0.6943168,0.05460288,0.71046066,0.0455949
13,360,540,0.05,0.05485080862758118,1.0716735253772291e-07,0.052000000000000005,0.18199149,0.1316598,0.04258211,0.1316598,0.04258211,0.12853883,0.04522254,0.1316598,0.04258211,0.12853883,0.04522254,0.12853883,0.04522254,0.12853883,0.04522254,0.12853883,0.04522254,0.12853883,0.04522254,0.12853883,0.04522254,0.12853883,0.04522254,0.12853883,0.04522254,0.1536798,0.02395253,0.16542432,0.01401632,0.12853883,0.04522254,0.1316598,0.04258211
13,360,540,0.1,0.10363327471440321,1.0716735253772291e-07,0.10200000000000001,0.35544404,0.33302295,0.01654152,0.3343441,0.01556684,0.33034945,0.01851395,0.33302295,0.01654152,0.3316931,0.01752263,0.3316931,0.01752263,0.3316931,0.01752263,0.3316931,0.01752263,0.3316931,0.01752263,0.3316931,0.01752263,0.3316931,0.01752263,0.3316931,0.01752263,0.34643412,0.00664723,0.35263935,0.00206922,0.3316931,0.01752263,0.3343441,0.01556684
13,360,540,0.15,0.15295997413594328,1.0716735253772291e-07,0.16,0.543018,0.5332784,0.00631203,0.53392667,0.00589191,0.5319584,0.00716748,0.5326284,0.00673326,0.5326284,0.00673326,0.5319584,0.00716748,0.5332784,0.00631203,0.5319584,0.00716748,0.5332784,0.00631203,0.5319584,0.00716748,0.5319584,0.00716748,0.5305947,0.00805128,0.5411021,0.00124162,0.5429269,5.9014623e-05,0.5305947,0.00805128,0.5332784,0.00631203
14,170,254,0.05,0.05158059362153646,1.5077389223405898e-08,0.10300000000000001,0.41094524,0.3679685,0.03045954,0.3582136,0.03737327,0.3411582,0.04946119,0.3646677,0.03279895,0.33666357,0.05264673,0.35983738,0.03622244,0.3337402,0.05471867,0.36306855,0.03393235,0.33232367,0.05572263,0.33816883,0.05157989,0.34418073,0.047319,0.33963835,0.05053839,0.40058836,0.00734038,0.37925774,0.02245836,0.3534656,0.04073839,0.36306855,0.03393235
14,170,254,0.1,0.10224654058120364,9.046433534043539e-08,0.219,0.67521274,0.6350467,0.02397666,0.6259577,0.02940226,0.5968184,0.04679667,0.6310111,0.02638568,0.5894373,0.05120271,0.62294084,0.03120314,0.5839756,0.05446301,0.62797457,0.02819832,0.5822016,0.05552199,0.5894373,0.05120271,0.60053486,0.04457815,0.5866895,0.05284302,0.65560925,0.01170208,0.6153042,0.03576178,0.6024183,0.04345385,0.62797457,0.02819832
14,170,254,0.15,0.151766083055894,9.951076887447892e-07,0.423,0.9122742,0.8549323,0.02998623,0.83985764,0.03786934,0.79463446,0.06151824,0.84342843,0.03600204,0.7821856,0.06802821,0.82871634,0.04369553,0.77570426,0.07141754,0.83704114,0.03934218,0.7746392,0.07197451,0.7778493,0.0702958,0.7993413,0.05905684,0.7653248,0.07684536,0.8846494,0.01444605,0.84519196,0.03507982,0.7900283,0.06392698,0.8335584,0.04116347
15,390,510,0.05,0.05158101978664425,2.6185687950393833e-08,0.059000000000000004,0.2623531,0.23216209,0.02391644,0.23422791,0.02227995,0.23008293,0.02556349,0.23216209,0.02391644,0.23008293,0.02556349,0.23216209,0.02391644,0.23008293,0.02556349,0.23008293,0.02556349,0.23008293,0.02556349,0.23008293,0.02556349,0.23008293,0.02556349,0.23008293,0.02556349,0.25512776,0.00572369,0.2611432,0.00095843,0.23216209,0.02391644,0.23422791,0.02227995
15,390,510,0.1,0.10165529918140281,2.6185687950393833e-08,0.131,0.50629956,0.475943,0.02015307,0.47836325,0.01854631,0.47105208,0.02340004,0.47471762,0.02096657,0.47227168,0.02259037,0.47350302,0.02177291,0.47227168,0.02259037,0.47227168,0.02259037,0.47227168,0.02259037,0.47227168,0.02259037,0.47105208,0.02340004,0.47105208,0.02340004,0.5028295,0.00230369,0.50604296,0.00017033,0.47105208,0.02340004,0.47714704,0.01935372
15,390,510,0.15,0.1514951279177426,5.2371375900787666e-08,0.212,0.73855543,0.7076647,0.01776803,0.71038413,0.01620387,0.704914,0.01935026,0.704914,0.01935026,0.7067486,0.01829498,0.7039959,0.01987833,0.7085723,0.01724598,0.7039959,0.01987833,0.7094811,0.01672328,0.704914,0.01935026,0.7039959,0.01987833,0.6984376,0.02307542,0.7370576,0.00086154,0.73808986,0.00026781,0.6984376,0.02307542,0.7085723,0.01724598
