img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
12,292,439,0.05,0.050980646796167865,4.063042822521089e-08,0.08600000000000001,0.3252271,0.28515524,0.03023773,0.28672192,0.02905554,0.27570182,0.03737116,0.2835639,0.03143853,0.27726066,0.03619487,0.28199783,0.03262028,0.27726066,0.03619487,0.28199783,0.03262028,0.27726066,0.03619487,0.28199783,0.03262028,0.2804062,0.03382129,0.2804062,0.03382129,0.3227015,0.00190578,0.3241557,0.00080848,0.2804062,0.03382129,0.28672192,0.02905554
12,292,439,0.1,0.10125386932611474,4.063042822521089e-08,0.20400000000000001,0.56822366,0.5058277,0.03978767,0.50779194,0.03853514,0.4885406,0.05081105,0.5019226,0.04227782,0.49136737,0.04900851,0.499979,0.04351719,0.4904204,0.04961235,0.499979,0.04351719,0.4885406,0.05081105,0.4961211,0.04597722,0.4932628,0.04779986,0.4904204,0.04961235,0.5654245,0.00178492,0.56597,0.00143707,0.4885406,0.05081105,0.50485283,0.04040932
12,292,439,0.15,0.1511541935546661,8.126085645042178e-08,0.366,0.7864663,0.7025654,0.04696472,0.70457596,0.04583928,0.67843616,0.06047139,0.69727355,0.04992691,0.6790369,0.06013511,0.69273776,0.05246588,0.67843616,0.06047139,0.69402546,0.05174506,0.67309284,0.06346241,0.6833062,0.0577453,0.68207717,0.05843331,0.67368037,0.06313353,0.7840227,0.00136784,0.7863552,6.216001e-05,0.68085676,0.05911642,0.69792765,0.04956077
13,360,540,0.05,0.054973755938059116,1.6075102880658437e-07,0.054,0.18312438,0.13163085,0.04352333,0.13457419,0.04103557,0.12870775,0.04599399,0.13163085,0.04352333,0.12870775,0.04599399,0.13163085,0.04352333,0.12870775,0.04599399,0.13163085,0.04352333,0.12870775,0.04599399,0.13163085,0.04352333,0.12870775,0.04599399,0.13163085,0.04352333,0.15538396,0.02344674,0.16655467,0.01400504,0.12870775,0.04599399,0.13457419,0.04103557
13,360,540,0.1,0.10360485490941393,5.3583676268861454e-08,0.109,0.35712653,0.33582696,0.01569461,0.3369684,0.01485353,0.33235374,0.01825386,0.33582696,0.01569461,0.33351856,0.01739554,0.33467633,0.01654246,0.33351856,0.01739554,0.33467633,0.01654246,0.33235374,0.01825386,0.33467633,0.01654246,0.33351856,0.01739554,0.33235374,0.01825386,0.3494405,0.00566346,0.3540739,0.00224932,0.33351856,0.01739554,0.33582696,0.01569461
13,360,540,0.15,0.15289026435085953,5.3583676268861454e-08,0.182,0.54322016,0.53305215,0.00658884,0.533574,0.00625066,0.52981716,0.00868509,0.5325298,0.00692731,0.5303719,0.00832558,0.5314622,0.00761911,0.5303719,0.00832558,0.5314622,0.00761911,0.5292636,0.00904377,0.52981716,0.00868509,0.52981716,0.00868509,0.5292636,0.00904377,0.5422078,0.00065601,0.54302937,0.00012361,0.5303719,0.00832558,0.5325298,0.00692731
14,170,254,0.05,0.051936089302273544,7.538694611702949e-09,0.111,0.4106919,0.3683657,0.03000384,0.359453,0.03632181,0.33861664,0.05109212,0.36384392,0.03320921,0.33340865,0.05478393,0.359453,0.03632181,0.32962176,0.05746833,0.36238396,0.03424414,0.33340865,0.05478393,0.33861664,0.05109212,0.34668574,0.04537216,0.3412698,0.04921139,0.39785492,0.00909977,0.38073528,0.02123539,0.34808978,0.04437688,0.36534896,0.03214233
14,170,254,0.1,0.10204825747955501,1.5077389223405898e-08,0.273,0.6786374,0.6398755,0.02309131,0.6274498,0.03049354,0.5875184,0.05428152,0.6315281,0.02806402,0.57792497,0.05999654,0.6194402,0.03526502,0.57012814,0.06464126,0.6258234,0.03146243,0.57610756,0.06107919,0.58233476,0.05736951,0.5921692,0.05151094,0.5773237,0.06035474,0.65208566,0.01581741,0.62633234,0.03115923,0.5956174,0.04945675,0.63318926,0.02707439
14,170,254,0.15,0.1529166952439254,1.5077389223405898e-08,0.9470000000000001,0.91188115,0.8405708,0.0372985,0.81938463,0.04837982,0.7607857,0.07902973,0.82454115,0.04568276,0.74221116,0.08874504,0.80494905,0.0559303,0.72995055,0.0951579,0.81239194,0.05203732,0.7410061,0.08937535,0.7594878,0.07970858,0.7670958,0.07572927,0.7505155,0.08440147,0.87860006,0.01740748,0.86835724,0.02276497,0.7624582,0.07815491,0.8179478,0.04913136
15,390,510,0.05,0.0517423186561913,2.6185687950393833e-08,0.063,0.26218823,0.23165867,0.02418779,0.23165867,0.02418779,0.22586247,0.02877997,0.22972438,0.02572028,0.22779284,0.02725058,0.22972438,0.02572028,0.22779284,0.02725058,0.22779284,0.02725058,0.22779284,0.02725058,0.22972438,0.02572028,0.22779284,0.02725058,0.22972438,0.02572028,0.25505286,0.00565315,0.2599755,0.00175309,0.22779284,0.02725058,0.23165867,0.02418779
15,390,510,0.1,0.10155672436143963,5.2371375900787666e-08,0.14400000000000002,0.506243,0.47708678,0.01935692,0.47913522,0.01799696,0.4688406,0.02483158,0.47503114,0.02072166,0.47090587,0.02346043,0.47296852,0.02209104,0.46986395,0.02415217,0.47296852,0.02209104,0.4688406,0.02483158,0.47192678,0.02278265,0.47090587,0.02346043,0.4688406,0.02483158,0.5039419,0.00152771,0.50617284,4.65723e-05,0.46986395,0.02415217,0.47708678,0.01935692
15,390,510,0.15,0.1517775551232338,5.2371375900787666e-08,0.267,0.7340285,0.6927869,0.0237837,0.6955474,0.02219175,0.679222,0.03160647,0.6893479,0.02576694,0.68055737,0.03083636,0.6859455,0.02772908,0.68055737,0.03083636,0.68526214,0.02812315,0.6772279,0.03275645,0.6798836,0.03122493,0.679222,0.03160647,0.6785519,0.03199291,0.73255646,0.00084891,0.73387367,8.928174e-05,0.68055737,0.03083636,0.6927869,0.0237837
16,452,640,0.05,0.05212823270591727,7.201788348082596e-08,0.067,0.34355775,0.30164462,0.03119563,0.29927742,0.03295751,0.29692602,0.03470764,0.29927742,0.03295751,0.29692602,0.03470764,0.30164462,0.03119563,0.29927742,0.03295751,0.30164462,0.03119563,0.29460174,0.0364376,0.29927742,0.03295751,0.29927742,0.03295751,0.29927742,0.03295751,0.3361847,0.00548769,0.34337935,0.00013278,0.29927742,0.03295751,0.29692602,0.03470764
16,452,640,0.1,0.10169080371400396,1.4403576696165192e-07,0.133,0.56649095,0.5529585,0.0086387,0.55115724,0.00978859,0.5474542,0.01215248,0.55115724,0.00978859,0.54839253,0.01155348,0.5520648,0.00920923,0.54931974,0.01096156,0.5529585,0.0086387,0.54931974,0.01096156,0.5474542,0.01215248,0.54931974,0.01096156,0.54651374,0.01275286,0.56637084,7.666357e-05,0.55963326,0.00437774,0.54651374,0.01275286,0.550244,0.01037157
16,452,640,0.15,0.15151776929231195,2.1605365044247787e-07,0.23,0.78799206,0.7798093,0.00457652,0.77845347,0.00533483,0.77408344,0.00777893,0.77845347,0.00533483,0.77408344,0.00777893,0.77845347,0.00533483,0.77508277,0.00722002,0.7798093,0.00457652,0.7704892,0.00978912,0.77256453,0.00862841,0.771006,0.00950008,0.77306986,0.00834581,0.78665966,0.00074519,0.77949303,0.00475342,0.77306986,0.00834581,0.774593,0.00749394
17,480,640,0.05,0.06384262718569132,6.781684027777778e-08,0.064,0.1111564,0.01064585,0.0904558,0.01064585,0.0904558,0.00814328,0.09270802,0.01064585,0.0904558,0.00814328,0.09270802,0.01064585,0.0904558,0.00814328,0.09270802,0.01064585,0.0904558,0.00814328,0.09270802,0.00814328,0.09270802,0.01064585,0.0904558,0.01064585,0.0904558,0.02376289,0.07865095,0.04085842,0.0632656,0.01064585,0.0904558,0.00814328,0.09270802
17,480,640,0.1,0.10897716452751642,6.781684027777778e-08,0.113,0.25493422,0.20554572,0.03935544,0.20554572,0.03935544,0.20424011,0.04039582,0.20554572,0.03935544,0.20424011,0.04039582,0.20554572,0.03935544,0.20424011,0.04039582,0.20554572,0.03935544,0.20554572,0.03935544,0.20424011,0.04039582,0.20424011,0.04039582,0.20424011,0.04039582,0.21618617,0.03087656,0.22826369,0.02125253,0.20424011,0.04039582,0.20554572,0.03935544
